Age,NumOfProducts,CreditScore,RowNumber,EstimatedSalary,Balance,CustomerId,Surname,Exited
31,1,584,7792,99298.8,152622.34,15570299,Martin,0
51,2,628,6518,71159.84,155903.82,15795246,Kaeppel,0
42,2,520,34,34410.55,0.0,15659428,Maggard,0
30,2,716,7888,65464.66,205770.78,15745433,Conti,0
43,2,765,6831,136602.8,157960.49,15669262,Maslov,0
39,2,589,5422,95985.64,0.0,15757661,Trevisano,0
57,1,594,1069,19376.56,0.0,15680303,Gibson,1
37,2,521,1348,86372.24,0.0,15668445,Mai,0
64,2,663,4748,15876.52,0.0,15702380,De Luca,0
24,2,636,6006,38830.72,0.0,15589323,Law,0
26,2,597,6040,95159.13,0.0,15768887,Hsing,0
29,1,682,3818,32589.89,101012.77,15724251,Todd,1
33,2,691,8447,164074.89,0.0,15630511,Picot,0
34,1,680,5270,67142.97,146422.22,15732281,Ugoji,1
48,1,492,6898,92144.09,127253.98,15650488,Bromley,1
36,1,684,5310,119830.08,174180.39,15778696,Ikemefuna,0
36,1,533,32,156731.91,85311.7,15706552,Odinakachukwu,0
28,2,540,5675,197588.32,0.0,15767598,Kent,0
42,1,783,4387,2150.22,139707.28,15621520,Tang,0
29,2,411,30,53483.21,59697.17,15656300,Lucciano,0
30,2,526,4203,100995.68,0.0,15757588,Wright,0
44,1,576,7508,119056.68,119530.52,15642001,Lorenzen,1
47,1,497,736,90055.08,0.0,15784209,Tang,0
31,1,744,2068,58961.49,120718.28,15767794,Browne,0
32,1,582,107,10054.53,88938.62,15599195,Stiger,0
35,2,452,9645,149614.81,0.0,15728480,Iloerika,0
39,1,485,8895,70665.16,75339.64,15631222,Cattaneo,0
46,1,850,8021,18986.12,157866.77,15669491,Cruz,0
36,2,649,2233,161668.15,0.0,15671969,Pruneda,0
28,1,661,994,102297.15,95357.49,15782899,Ginn,0
26,1,725,9413,133720.57,98684.15,15724648,Chikezie,0
71,3,624,7059,73679.59,170252.05,15671769,Zikoranachidimma,1
46,2,668,6790,29388.02,0.0,15809847,Tan,0
28,2,706,361,181543.67,0.0,15803716,West,0
33,1,553,305,94440.45,118082.89,15812191,Brennan,0
25,2,571,2628,167705.07,82506.72,15707144,Onyeorulu,0
58,1,477,8966,24564.7,145984.92,15811032,Gambrell,0
41,2,696,4514,28276.83,0.0,15722212,Edmondstone,0
39,1,481,5911,24677.54,0.0,15700749,Powell,0
38,1,639,8314,42862.82,0.0,15750121,Tung,0
35,2,810,3101,120511.03,96814.46,15735549,Lori,0
42,1,516,5704,46857.52,56228.25,15621063,Gibbons,0
59,1,662,3899,8059.44,104568.41,15750156,Yu,1
43,1,690,5441,119644.59,166522.78,15807269,Milanesi,1
38,2,500,7931,192013.23,0.0,15606436,Bergamaschi,0
40,1,656,622,151887.16,167878.5,15603134,Pai,0
35,1,697,7236,64771.61,133087.76,15629750,Artyomova,0
37,2,718,2499,142.81,0.0,15648735,Cashin,0
41,1,501,714,172114.67,144260.5,15716164,Nicholls,0
28,2,844,8404,123318.37,0.0,15707219,Hopman,0
75,2,710,2856,9376.89,0.0,15693203,Powell,0
44,1,748,4270,2048.55,112610.77,15580252,Waters,0
69,1,494,2909,24489.44,93320.8,15570769,Kibble,0
47,1,757,8081,143829.54,130747.1,15668775,Pendred,0
32,4,497,4517,9497.99,111537.23,15812210,Yashina,1
38,2,744,1262,78770.86,73023.17,15794870,Sal,0
28,2,591,3161,48606.92,0.0,15672821,Owen,0
48,1,638,971,47679.14,138333.03,15805955,L?,0
46,2,581,3913,188492.82,79385.21,15655590,Garcia,0
40,1,604,5199,36209.1,84315.02,15660768,L?,0
53,2,571,8847,28045.77,0.0,15616365,Obiuto,0
38,1,850,260,140075.55,54901.01,15607178,Welch,0
54,1,596,3791,153482.91,78126.28,15756751,Griffiths,1
31,1,528,9203,5419.31,120962.59,15735782,MacDonald,0
39,1,542,488,14353.43,135096.77,15613772,Dalrymple,1
39,2,683,7908,86019.48,47685.47,15688157,Padovano,0
48,2,698,519,177815.87,101238.24,15775912,Mazzanti,1
34,2,655,8343,159638.77,0.0,15773876,Tung,0
30,1,729,312,145111.37,63669.42,15702919,Collins,0
36,1,646,3232,88481.32,124445.52,15587177,Lloyd,0
40,1,850,7933,60811.56,102800.65,15812365,Greco,0
43,4,665,7458,35640.12,116322.27,15668889,Galgano,1
49,2,601,9784,104263.82,96252.98,15680430,Ajuluchukwu,0
38,2,694,5184,156858.2,0.0,15621440,Soto,0
36,1,732,8077,3749.0,0.0,15590349,Rowland,1
30,2,679,6502,157871.55,0.0,15761364,Nkemjika,0
40,1,487,6791,193408.43,136093.74,15599074,Ma,0
50,1,792,7773,16528.4,146710.76,15614168,Alexander,1
31,2,472,2738,73322.0,58662.92,15644724,Fan,0
46,1,706,7842,149170.25,111288.18,15789563,Fiorentino,1
35,1,708,6262,199005.88,122570.69,15595162,Cattaneo,0
39,1,477,8206,185830.72,182491.57,15800793,St Clair,0
24,2,512,1248,37654.31,0.0,15711288,Hay,0
50,2,737,9336,4225.11,127552.85,15739123,Mellor,0
54,1,572,4195,195771.95,97382.53,15660524,Hu,0
36,2,747,8001,180693.61,102603.3,15629002,Hamilton,0
40,1,691,7378,60622.61,115465.98,15592999,Reid,0
66,1,692,3435,118188.15,159732.02,15712303,Valentin,0
32,2,850,5382,149458.73,141827.33,15663883,Hansen,0
27,1,531,959,7222.92,132576.25,15619529,Ndukaku,0
61,1,487,417,11384.45,110368.03,15720559,Heath,1
42,1,709,5742,77142.85,118546.71,15725036,Jideofor,0
36,1,745,6728,19605.18,0.0,15610416,Christie,1
39,2,492,4382,71323.23,0.0,15680370,DeRose,0
22,1,719,5197,177497.4,114415.84,15670822,Palmer,0
42,2,690,1113,70810.6,92578.14,15714750,Northey,0
32,1,558,2689,143783.28,108235.91,15728474,Chienezie,0
34,1,651,6473,66389.43,148962.46,15588419,Johnston,1
36,1,592,8820,146111.35,123187.51,15790750,Manfrin,0
34,1,608,7808,36639.25,106288.54,15568904,Kruglova,0
36,2,430,3411,122373.42,138992.48,15595937,Bruno,0
34,2,665,81,171413.66,96645.54,15706021,Buley,0
46,2,745,4614,67769.94,0.0,15792565,Duncan,0
46,1,528,1374,133146.03,135555.66,15771942,Tikhonov,1
37,1,528,1510,197111.99,103772.45,15638149,Rowley,0
33,1,491,6443,187946.55,83134.3,15719212,T'ien,0
32,2,674,3071,140579.17,0.0,15794661,Liu,0
43,2,674,3016,8757.39,85957.88,15591433,Miles,0
32,4,745,4823,179705.13,0.0,15805704,Murphy,1
28,1,777,7822,118313.38,134571.5,15686588,Manfrin,0
36,2,524,93,109614.57,0.0,15809248,Cole,0
28,2,657,9421,5177.62,0.0,15637324,Kay,0
49,1,850,6600,65769.3,128663.9,15739578,Chiazagomekpere,1
38,2,676,4443,35644.79,0.0,15766163,Zotova,0
31,1,828,7602,164257.37,0.0,15693382,Muir,0
39,2,734,3835,112973.34,92126.26,15704819,Ositadimma,0
38,1,678,9702,126253.31,124483.53,15636912,Sneddon,0
34,1,651,4322,123954.15,91562.99,15794257,Hsiung,0
30,2,710,3394,8991.17,0.0,15600626,Bradley,0
64,2,661,4752,189398.18,128751.65,15763256,Sheppard,1
47,2,539,7229,166929.43,127286.04,15707602,Macleod,1
46,2,646,9191,133059.15,0.0,15798943,Alexander,0
41,1,518,2361,89327.67,110624.99,15670205,Boyd,0
29,3,593,1148,134594.99,101713.84,15671209,Holden,0
33,2,559,5666,110371.84,111060.05,15766064,Komarova,0
27,1,817,8075,59259.44,129810.6,15789557,Howell-Price,0
36,1,592,4943,179718.17,126477.42,15784687,Simmons,0
28,1,632,3663,145157.97,118890.81,15628123,Robinson,0
31,2,694,1563,19448.93,109052.59,15600991,Artemieva,1
30,1,700,4113,174971.64,0.0,15763107,Little,0
33,2,629,9050,59129.72,0.0,15584288,Hung,0
42,1,427,9276,57098.0,75681.52,15749265,Carslaw,0
46,2,801,8538,170008.74,0.0,15800068,Cooper,0
29,1,654,795,180345.44,0.0,15776807,Brennan,0
40,3,596,5854,148623.43,62389.03,15765300,L?,1
40,2,578,7619,102233.73,0.0,15752601,McCulloch,0
36,1,591,1594,122022.89,135216.8,15741728,Atkins,0
37,1,730,7418,118591.67,124053.03,15736533,Monaldo,0
31,1,811,5267,182372.35,117799.28,15784700,Chikelu,0
41,1,749,7147,61128.29,57568.94,15646594,Ali,0
46,3,646,89,93251.42,0.0,15622897,Sharpe,1
48,2,671,8695,76373.38,116711.06,15742116,Torres,0
29,1,607,9732,163257.44,102609.0,15627859,Nebeolisa,0
28,1,689,9446,6129.61,95328.6,15731951,Reilly,1
38,1,661,6754,15650.89,143006.7,15568449,Fu,0
30,2,646,3502,136983.77,100548.67,15802060,Ch'ang,0
38,1,565,2234,67339.34,122447.76,15791268,Neumann,0
53,1,774,2803,153887.93,113709.28,15723299,Sorokina,1
40,2,785,4424,96832.82,0.0,15739857,Trentino,0
40,2,703,5663,122518.5,0.0,15659937,Otutodilinna,0
34,2,490,7170,154360.97,122952.9,15684722,Fraser,0
33,1,786,8337,34712.34,122325.58,15788480,Pagnotto,1
33,1,665,2148,159840.51,101286.11,15574167,Fox,0
45,1,592,7969,67214.02,84692.5,15712068,Wan,0
39,1,637,6551,88391.29,109698.41,15617331,Sergeyeva,1
40,1,811,7643,121765.0,101514.89,15654760,Su,0
28,2,488,6164,106799.49,139246.22,15581323,White,0
52,2,449,1495,123622.0,0.0,15808189,Woodard,0
47,2,723,7696,103379.31,90450.0,15629985,Eidson,1
41,1,606,7094,156476.36,132670.53,15644453,Loggia,1
32,2,707,1409,30807.02,0.0,15579062,Chu,0
30,1,573,6691,192950.6,127406.5,15579223,Niu,0
31,1,676,3401,124777.14,78990.15,15750874,Onyemere,0
33,1,605,109,71862.79,150092.8,15602312,Walkom,0
27,1,568,5636,45563.94,116320.68,15746662,Maduabuchim,0
38,2,729,8482,189727.12,0.0,15747558,Bryant,0
35,2,554,6604,190155.13,74988.59,15683213,Bergamaschi,0
34,1,539,1091,136603.42,91622.42,15604304,Perry,0
36,1,850,5560,191535.11,119984.07,15729557,Olisaemeka,1
40,4,689,9412,119259.34,78119.59,15796115,Forbes,1
41,1,615,8143,130661.95,130385.82,15752502,Cooke,0
39,1,539,8664,28184.7,0.0,15736578,Hamilton,0
24,2,601,6596,144660.42,0.0,15734948,Igwebuike,0
36,2,678,624,89566.74,145747.67,15773456,Lazareva,0
36,2,850,6871,99019.65,136980.23,15762793,Jones,0
39,2,517,4814,12465.51,0.0,15723858,Schiavone,0
34,1,793,6553,143357.03,127758.09,15636407,Beatham,0
33,1,579,7530,157564.75,118392.75,15575430,Robson,0
39,2,709,5796,56214.09,0.0,15565891,Dipietro,0
57,1,646,7437,13911.27,90212.0,15671534,Hovell,1
35,1,587,4218,23481.69,121863.61,15583840,Okechukwu,1
41,2,849,5941,169203.51,0.0,15791958,Mazzi,1
37,1,660,8501,23291.83,97324.91,15584785,Ogochukwu,0
39,1,627,6429,93132.61,124586.93,15577423,Mosley,1
51,2,547,6827,56908.41,0.0,15727361,Chiemela,0
39,1,554,4131,173197.12,129709.62,15731669,Szabados,0
54,1,678,7802,191746.23,128914.97,15798844,Chijindum,1
28,1,605,7754,33114.24,113690.83,15777616,Pisani,0
44,1,757,4722,137136.29,123322.15,15695034,Christie,0
34,2,625,1651,197283.2,0.0,15718106,Kelley,0
33,2,841,4141,99505.75,154969.79,15762048,Yuan,0
40,2,557,1618,105433.53,0.0,15801062,Matthews,0
33,2,520,2030,166102.61,156297.58,15666043,Mackey,0
20,2,688,8518,197582.79,137624.4,15671800,Robinson,0
29,2,833,4576,48986.18,96462.25,15756926,Atherton,0
38,2,730,3993,94003.11,38848.19,15602811,Chioke,0
23,1,704,7377,155823.2,166594.78,15765093,Coates,0
34,2,643,6150,116046.22,0.0,15670066,Ibezimako,0
48,1,540,4909,88703.04,109349.29,15806256,Jackson,1
44,2,626,5027,164287.86,0.0,15673223,Hou,0
30,1,640,8261,141446.01,32197.64,15627830,Nikitina,0
35,2,705,4732,66331.01,0.0,15622230,Cribb,0
62,2,584,7549,121102.9,137727.34,15658504,Chiawuotu,0
41,1,577,8135,167621.18,0.0,15761783,Shah,0
40,2,566,1607,154486.01,97001.36,15714080,Goliwe,0
35,2,646,4774,142839.82,121952.75,15709451,Gordon,0
34,2,661,8110,185555.63,0.0,15640133,Pai,0
42,1,658,6952,103764.55,102870.93,15738889,Shih,1
22,1,521,6005,101311.95,0.0,15802088,Grant,0
31,1,616,7729,76456.17,0.0,15637857,Woolacott,0
67,1,838,3542,78310.04,103267.8,15637169,Maclean,0
45,2,709,389,162922.65,0.0,15748936,Whitehead,0
38,2,823,1795,156603.7,0.0,15606841,Ibbott,0
41,2,727,8732,47468.56,0.0,15769125,Palerma,0
50,1,682,4920,102260.16,128039.01,15625941,Gray,0
41,1,527,5538,57589.29,136733.24,15735346,Wallace,0
39,1,605,3873,9641.4,111169.91,15620123,Christie,0
38,1,649,8869,103760.53,0.0,15708357,Chapman,0
36,1,679,2255,172501.38,147733.64,15585533,Calabrese,0
26,1,582,3413,14081.64,114450.32,15782802,Beneventi,0
36,2,530,5460,80619.09,0.0,15617507,Wilson,0
33,2,775,4956,128841.31,83501.66,15581525,Walker,0
56,2,603,7397,162223.67,90778.76,15603565,Mackenzie,1
40,2,495,5415,150720.39,140197.71,15600357,Findlay,0
37,1,668,7400,92149.64,128645.67,15769548,Hyde,0
45,2,737,7415,78650.95,99169.67,15802869,Ball,0
35,2,659,9101,58879.11,0.0,15743075,Ko,0
48,1,530,4852,85081.09,0.0,15618239,Neumann,0
45,2,634,2026,17622.82,0.0,15752953,Chien,0
63,1,486,2616,85101.0,97009.15,15700209,Walker,0
29,1,836,7389,153747.73,133681.78,15808023,Remington,0
63,2,510,2927,115291.86,0.0,15744529,Chiekwugo,0
24,2,809,1122,193518.76,0.0,15672704,Jackson,0
33,1,596,2911,63142.12,139451.67,15746139,Enemuo,0
48,1,717,8147,169952.82,123764.95,15600086,Combs,0
39,2,737,7384,55356.39,130051.66,15672912,Loggia,1
37,2,543,3483,78915.68,0.0,15677377,Lawrence,0
36,2,761,796,99444.02,108239.11,15686870,Ball,0
23,2,545,1576,189613.12,0.0,15636756,Marino,0
38,2,608,6177,137079.86,103653.51,15604146,Kaodilinakachukwu,0
33,1,537,6267,62746.54,136082.0,15590097,Ch'eng,0
88,2,513,2459,52952.24,0.0,15813303,Rearick,0
31,1,664,3313,134169.85,104158.84,15605684,Phelan,0
55,2,499,1254,123269.71,126817.65,15699523,Chu,0
50,2,703,6835,79314.1,160139.59,15625035,Mills,0
29,1,706,8795,133267.69,209490.21,15578671,Webb,1
23,2,598,3838,153229.19,0.0,15662533,Porter,0
39,1,743,4399,94263.44,0.0,15707007,Onio,0
32,1,722,3596,76998.69,106807.64,15654156,Marcelo,0
50,2,646,6622,181794.86,104129.24,15710365,Thomson,1
25,2,599,8383,120790.02,0.0,15612594,Ifeanacho,0
32,4,704,2125,184464.7,127785.17,15603851,Galkin,1
54,1,675,3239,110273.84,0.0,15588080,Giles,1
22,1,590,5404,161253.08,125265.61,15733169,Craig,0
28,2,644,5999,119419.37,0.0,15644212,Han,0
38,1,850,5939,162087.82,115378.94,15679668,Yao,0
31,2,668,2046,41291.73,0.0,15655238,Dellucci,0
28,1,715,1579,196853.11,160376.61,15585047,Onyemere,0
35,2,635,15,65951.65,0.0,15600882,Scott,0
50,1,601,2674,185855.21,115625.07,15574910,Ferguson,0
50,1,741,7017,13018.96,78737.61,15790254,Wood,0
28,2,711,8721,105159.89,0.0,15645059,Crace,0
38,2,664,8850,154395.56,74306.19,15721433,Hixson,0
31,1,672,4813,177295.92,91125.75,15601172,Nelson,0
24,2,796,1085,61349.37,0.0,15591257,Ejimofor,0
30,1,543,4984,157711.18,140916.81,15723721,Tinline,0
45,3,515,7156,39288.11,120961.5,15609070,Findlay,1
29,2,620,2885,153392.28,0.0,15776047,Nicholls,0
30,1,584,334,177772.03,112013.81,15728669,Knowles,1
39,1,686,7205,89199.51,136258.06,15585192,Cremonesi,0
50,1,573,4368,155915.24,159304.07,15675854,Douglas,1
34,2,757,3080,44965.44,129398.01,15774727,Monaldo,0
33,2,657,7204,103914.4,84309.57,15657778,Jefferson,0
58,1,739,9910,72168.53,101579.28,15773338,Endrizzi,0
29,2,832,8865,178779.52,0.0,15599124,Miller,0
26,1,682,264,111879.21,110654.02,15673693,Reppert,0
38,2,850,4338,16491.64,0.0,15642160,Milanesi,0
40,1,699,8896,102085.35,122038.34,15658972,Foster,0
33,1,765,8448,69039.43,84557.82,15792627,Reid,0
29,1,570,5904,131363.57,153040.03,15677317,Ankudinova,1
25,2,595,1499,177025.79,106570.34,15677049,O'Brien,0
31,1,850,4191,31022.56,121237.65,15659568,Atkinson,0
32,2,561,7486,84871.99,0.0,15744423,Cocci,0
41,2,521,9644,113089.43,0.0,15709354,Tudawali,0
43,1,702,8311,61602.42,116121.67,15752809,De Mestre,0
42,3,619,7591,191821.35,132796.04,15568819,Chiganu,1
32,2,555,501,54405.79,0.0,15727688,Chizuoke,0
39,2,579,9156,158948.63,151963.26,15680666,Berry,0
53,1,544,9415,125692.07,0.0,15632280,Toth,1
19,1,792,3096,33282.84,143390.51,15680243,Brown,0
30,1,659,4632,40441.1,154159.51,15706116,McKay,0
35,2,460,368,189339.6,102742.91,15594720,Scott,0
39,1,557,4059,177944.64,146200.01,15771966,Akobundu,0
31,1,564,8175,72757.33,125175.58,15623525,Copeland,0
38,2,489,4631,82662.73,126444.08,15684958,Amadi,0
35,2,629,6071,158420.14,174588.8,15678173,Collee,0
29,2,586,2665,142238.54,0.0,15769582,Kang,0
33,2,628,1027,184230.23,0.0,15767864,Fulton,0
46,1,749,5909,78753.12,66582.81,15641934,Manna,1
32,1,703,5051,56246.72,125685.79,15663294,Kao,0
41,1,790,6329,86776.38,109508.68,15629545,Buckley,0
64,2,733,9734,75272.63,0.0,15789413,Fitzgerald,0
31,1,591,1692,141677.33,0.0,15772933,Mai,0
32,2,640,674,19131.71,118879.35,15745621,Wertheim,0
34,1,565,5573,63173.64,0.0,15613140,Mellor,0
40,1,556,5767,95124.4,125909.85,15740846,Wei,0
33,1,555,5157,121789.3,127343.4,15675256,Ts'ui,0
43,2,738,734,64166.7,121152.05,15744607,Martin,1
30,2,799,3527,136827.96,0.0,15795129,Gallo,0
31,2,737,569,74890.58,121192.22,15795564,Moretti,0
38,1,601,9188,38020.05,60013.81,15628863,Calabresi,0
34,1,685,2923,9663.28,83264.28,15705113,P'an,0
26,2,558,7912,24411.02,148853.29,15809906,Mitchell,0
35,2,571,1559,178512.52,104783.81,15618018,Dickson,0
44,2,623,102,167162.43,0.0,15743192,Hung,0
33,1,602,3008,180716.1,164704.38,15697997,Jamieson,1
30,1,689,7202,41865.72,136650.89,15664615,Nnachetam,1
33,2,712,304,190686.16,0.0,15624188,Chiu,0
55,2,664,77,139161.64,0.0,15614049,Hu,0
28,1,627,6755,34097.22,157597.61,15688085,Warner,0
23,2,651,8630,70400.86,115636.05,15577598,Chiang,0
47,1,697,1209,168053.4,128252.66,15616451,Genovese,0
22,1,579,7743,49829.8,118680.57,15571940,Afamefula,0
32,2,836,8215,55218.02,109196.67,15788920,Ch'ang,0
49,2,551,8945,135757.27,150777.72,15752312,Howells,0
